game_id,season,week,gameday,away_team,away_score,home_team,home_score,result,spread_line,away_moneyline,home_moneyline,away_spread_odds,home_spread_odds
2021_01_DAL_TB,2021,1,2021-09-09,DAL,29.0,TB,31.0,2.0,10.0,351.0,-425.0,-121.0,110.0
2021_01_PHI_ATL,2021,1,2021-09-12,PHI,32.0,ATL,6.0,-26.0,3.5,161.0,-180.0,-109.0,-101.0
2021_01_PIT_BUF,2021,1,2021-09-12,PIT,23.0,BUF,16.0,-7.0,6.5,232.0,-267.0,-110.0,-100.0
2021_01_NYJ_CAR,2021,1,2021-09-12,NYJ,14.0,CAR,19.0,5.0,3.5,164.0,-184.0,-108.0,-102.0
2021_01_MIN_CIN,2021,1,2021-09-12,MIN,24.0,CIN,27.0,3.0,-3.0,-135.0,122.0,109.0,-120.0
2021_01_SF_DET,2021,1,2021-09-12,SF,41.0,DET,33.0,-8.0,-9.5,-415.0,344.0,-105.0,-105.0
2021_01_JAX_HOU,2021,1,2021-09-12,JAX,21.0,HOU,37.0,16.0,-3.5,-172.0,154.0,103.0,-113.0
2021_01_SEA_IND,2021,1,2021-09-12,SEA,28.0,IND,16.0,-12.0,-3.0,-146.0,132.0,106.0,-117.0
2021_01_ARI_TEN,2021,1,2021-09-12,ARI,38.0,TEN,13.0,-25.0,2.5,131.0,-146.0,105.0,-116.0
2021_01_LAC_WAS,2021,1,2021-09-12,LAC,20.0,WAS,16.0,-4.0,2.5,117.0,-129.0,-109.0,-101.0
2021_01_CLE_KC,2021,1,2021-09-12,CLE,29.0,KC,33.0,4.0,5.5,211.0,-241.0,-101.0,-110.0
2021_01_MIA_NE,2021,1,2021-09-12,MIA,17.0,NE,16.0,-1.0,3.5,155.0,-173.0,-113.0,102.0
2021_01_GB_NO,2021,1,2021-09-12,GB,3.0,NO,38.0,35.0,-4.0,-181.0,162.0,103.0,-114.0
2021_01_DEN_NYG,2021,1,2021-09-12,DEN,27.0,NYG,13.0,-14.0,-3.0,-139.0,125.0,109.0,-120.0
2021_01_CHI_LA,2021,1,2021-09-12,CHI,14.0,LA,34.0,20.0,9.5,324.0,-387.0,-108.0,-102.0
2021_01_BAL_LV,2021,1,2021-09-13,BAL,27.0,LV,33.0,6.0,-3.0,-167.0,149.0,-116.0,105.0
2021_02_NYG_WAS,2021,2,2021-09-16,NYG,29.0,WAS,30.0,1.0,4.0,176.0,-198.0,-103.0,-107.0
2021_02_NO_CAR,2021,2,2021-09-19,NO,7.0,CAR,26.0,19.0,-3.0,-145.0,131.0,102.0,-113.0
2021_02_CIN_CHI,2021,2,2021-09-19,CIN,17.0,CHI,20.0,3.0,2.0,114.0,-126.0,-105.0,-105.0
2021_02_HOU_CLE,2021,2,2021-09-19,HOU,21.0,CLE,31.0,10.0,13.5,521.0,-675.0,-103.0,-107.0
2021_02_LA_IND,2021,2,2021-09-19,LA,27.0,IND,24.0,-3.0,-4.0,-205.0,182.0,-110.0,-100.0
2021_02_DEN_JAX,2021,2,2021-09-19,DEN,23.0,JAX,13.0,-10.0,-6.0,-241.0,211.0,104.0,-115.0
2021_02_BUF_MIA,2021,2,2021-09-19,BUF,35.0,MIA,0.0,-35.0,-3.5,-179.0,160.0,103.0,-113.0
2021_02_NE_NYJ,2021,2,2021-09-19,NE,25.0,NYJ,6.0,-19.0,-5.5,-235.0,207.0,-105.0,-105.0
2021_02_SF_PHI,2021,2,2021-09-19,SF,17.0,PHI,11.0,-6.0,-3.0,-144.0,130.0,104.0,-115.0
2021_02_LV_PIT,2021,2,2021-09-19,LV,26.0,PIT,17.0,-9.0,5.5,201.0,-228.0,-109.0,-102.0
2021_02_MIN_ARI,2021,2,2021-09-19,MIN,33.0,ARI,34.0,1.0,4.0,170.0,-191.0,-111.0,101.0
2021_02_ATL_TB,2021,2,2021-09-19,ATL,25.0,TB,48.0,23.0,13.5,582.0,-772.0,-108.0,-102.0
2021_02_DAL_LAC,2021,2,2021-09-19,DAL,20.0,LAC,17.0,-3.0,3.0,135.0,-150.0,-109.0,-101.0
2021_02_TEN_SEA,2021,2,2021-09-19,TEN,33.0,SEA,30.0,-3.0,6.5,247.0,-286.0,-100.0,-110.0
2021_02_KC_BAL,2021,2,2021-09-19,KC,35.0,BAL,36.0,1.0,-3.5,-171.0,153.0,107.0,-118.0
2021_02_DET_GB,2021,2,2021-09-20,DET,17.0,GB,35.0,18.0,11.5,400.0,-494.0,-112.0,102.0
2021_03_CAR_HOU,2021,3,2021-09-23,CAR,24.0,HOU,9.0,-15.0,-8.0,-420.0,348.0,-115.0,104.0
2021_03_WAS_BUF,2021,3,2021-09-26,WAS,21.0,BUF,43.0,22.0,7.5,281.0,-330.0,-114.0,103.0
2021_03_CHI_CLE,2021,3,2021-09-26,CHI,6.0,CLE,26.0,20.0,7.5,315.0,-375.0,-102.0,-108.0
2021_03_BAL_DET,2021,3,2021-09-26,BAL,19.0,DET,17.0,-2.0,-7.5,-344.0,292.0,-100.0,-110.0
2021_03_ARI_JAX,2021,3,2021-09-26,ARI,31.0,JAX,19.0,-12.0,-8.0,-360.0,304.0,-101.0,-110.0
2021_03_LAC_KC,2021,3,2021-09-26,LAC,30.0,KC,24.0,-6.0,6.5,237.0,-273.0,-100.0,-110.0
2021_03_NO_NE,2021,3,2021-09-26,NO,28.0,NE,13.0,-15.0,3.0,130.0,-144.0,-117.0,106.0
2021_03_ATL_NYG,2021,3,2021-09-26,ATL,17.0,NYG,14.0,-3.0,3.0,129.0,-143.0,-115.0,105.0
2021_03_CIN_PIT,2021,3,2021-09-26,CIN,24.0,PIT,10.0,-14.0,2.5,126.0,-140.0,103.0,-114.0
2021_03_IND_TEN,2021,3,2021-09-26,IND,16.0,TEN,25.0,9.0,4.5,175.0,-196.0,-113.0,103.0
2021_03_NYJ_DEN,2021,3,2021-09-26,NYJ,0.0,DEN,26.0,26.0,10.5,470.0,-597.0,-109.0,-101.0
2021_03_MIA_LV,2021,3,2021-09-26,MIA,28.0,LV,31.0,3.0,4.0,173.0,-194.0,-107.0,-103.0
2021_03_TB_LA,2021,3,2021-09-26,TB,24.0,LA,34.0,10.0,-1.0,-106.0,-104.0,100.0,-110.0
2021_03_SEA_MIN,2021,3,2021-09-26,SEA,17.0,MIN,30.0,13.0,-2.0,-120.0,109.0,-101.0,-109.0
2021_03_GB_SF,2021,3,2021-09-26,GB,30.0,SF,28.0,-2.0,3.5,160.0,-179.0,-113.0,103.0
2021_03_PHI_DAL,2021,3,2021-09-27,PHI,21.0,DAL,41.0,20.0,3.5,168.0,-189.0,-103.0,-107.0
2021_04_JAX_CIN,2021,4,2021-09-30,JAX,21.0,CIN,24.0,3.0,7.5,313.0,-373.0,105.0,-116.0
2021_04_WAS_ATL,2021,4,2021-10-03,WAS,34.0,ATL,30.0,-4.0,-1.0,-117.0,106.0,-111.0,100.0
2021_04_HOU_BUF,2021,4,2021-10-03,HOU,0.0,BUF,40.0,40.0,19.0,988.0,-1500.0,-108.0,-102.0
2021_04_DET_CHI,2021,4,2021-10-03,DET,14.0,CHI,24.0,10.0,3.0,134.0,-148.0,-109.0,-101.0
2021_04_CAR_DAL,2021,4,2021-10-03,CAR,28.0,DAL,36.0,8.0,4.5,186.0,-210.0,-106.0,-104.0
2021_04_IND_MIA,2021,4,2021-10-03,IND,27.0,MIA,17.0,-10.0,2.5,130.0,-144.0,102.0,-113.0
2021_04_CLE_MIN,2021,4,2021-10-03,CLE,14.0,MIN,7.0,-7.0,-1.0,-105.0,-106.0,102.0,-113.0
2021_04_NYG_NO,2021,4,2021-10-03,NYG,27.0,NO,21.0,-6.0,7.5,286.0,-337.0,-118.0,107.0
2021_04_TEN_NYJ,2021,4,2021-10-03,TEN,24.0,NYJ,27.0,3.0,-5.5,-234.0,206.0,-104.0,-106.0
2021_04_KC_PHI,2021,4,2021-10-03,KC,42.0,PHI,30.0,-12.0,-7.5,-349.0,296.0,101.0,-112.0
2021_04_ARI_LA,2021,4,2021-10-03,ARI,37.0,LA,20.0,-17.0,3.5,178.0,-200.0,100.0,-111.0
2021_04_SEA_SF,2021,4,2021-10-03,SEA,28.0,SF,21.0,-7.0,2.5,120.0,-133.0,-103.0,-107.0
2021_04_BAL_DEN,2021,4,2021-10-03,BAL,23.0,DEN,7.0,-16.0,1.0,107.0,-118.0,101.0,-111.0
2021_04_PIT_GB,2021,4,2021-10-03,PIT,17.0,GB,27.0,10.0,6.5,239.0,-276.0,-104.0,-106.0
2021_04_TB_NE,2021,4,2021-10-03,TB,19.0,NE,17.0,-2.0,-6.0,-255.0,223.0,-105.0,-105.0
2021_04_LV_LAC,2021,4,2021-10-04,LV,14.0,LAC,28.0,14.0,3.0,144.0,-161.0,-101.0,-109.0
2021_05_LA_SEA,2021,5,2021-10-07,LA,26.0,SEA,17.0,-9.0,-2.5,-135.0,122.0,-116.0,105.0
