season,week,gameday,matchup,score,underdog,dog_points,odds,n_tied,stake,outcome,profit,cumulative_profit
2021,1,2021-09-09,DAL @ TB,29-31,DAL,10.0,351.0,1,100.0,loss,-100.0,-100.0
2021,2,2021-09-19,ATL @ TB,25-48,ATL,13.5,582.0,2,50.0,loss,-50.0,-150.0
2021,2,2021-09-19,HOU @ CLE,21-31,HOU,13.5,521.0,2,50.0,loss,-50.0,-200.0
2021,3,2021-09-26,NYJ @ DEN,0-26,NYJ,10.5,470.0,1,100.0,loss,-100.0,-300.0
2021,4,2021-10-03,HOU @ BUF,0-40,HOU,19.0,988.0,1,100.0,loss,-100.0,-400.0
2021,5,2021-10-10,MIA @ TB,17-45,MIA,11.0,448.0,1,100.0,loss,-100.0,-500.0
2021,6,2021-10-17,HOU @ IND,3-31,HOU,10.5,363.0,1,100.0,loss,-100.0,-600.0
2021,7,2021-10-24,HOU @ ARI,5-31,HOU,20.5,1119.0,1,100.0,loss,-100.0,-700.0
2021,8,2021-10-31,LA @ HOU,38-22,HOU,17.0,724.0,1,100.0,loss,-100.0,-800.0
2021,9,2021-11-07,BUF @ JAX,6-9,JAX,14.5,776.0,1,100.0,win,776.0,-24.0
2021,10,2021-11-14,BUF @ NYJ,45-17,NYJ,13.0,527.0,1,100.0,loss,-100.0,-124.0
2021,11,2021-11-21,DET @ CLE,10-13,DET,13.0,465.0,1,100.0,loss,-100.0,-224.0
2021,12,2021-11-28,TEN @ NE,13-36,TEN,7.5,262.0,1,100.0,loss,-100.0,-324.0
2021,13,2021-12-05,JAX @ LA,7-37,JAX,14.0,597.0,1,100.0,loss,-100.0,-424.0
2021,14,2021-12-12,DET @ DEN,10-38,DET,13.0,495.0,1,100.0,loss,-100.0,-524.0
2021,15,2021-12-19,CAR @ BUF,14-31,CAR,14.0,562.0,1,100.0,loss,-100.0,-624.0
2021,16,2021-12-26,LAC @ HOU,29-41,HOU,13.5,500.0,1,100.0,win,500.0,-124.0
2021,17,2022-01-02,JAX @ NE,10-50,JAX,17.5,727.0,1,100.0,loss,-100.0,-224.0
2021,18,2022-01-09,NYJ @ BUF,10-27,NYJ,16.0,750.0,1,100.0,loss,-100.0,-324.0
2022,1,2022-09-11,PIT @ CIN,23-20,PIT,7.5,264.0,1,100.0,win,264.0,-60.0
2022,2,2022-09-18,ATL @ LA,27-31,ATL,10.5,385.0,3,33.33333333333333,loss,-33.33333333333333,-93.33333333333333
