season,week,gameday,matchup,score,underdog,dog_points,odds,n_tied,stake,outcome,profit,cumulative_profit
2021,1,2021-09-09,DAL @ TB,29-31,DAL,10.0,-121.0,1,100.0,win,82.64462809917356,82.64462809917356
2021,2,2021-09-19,ATL @ TB,25-48,ATL,13.5,-108.0,2,50.0,loss,-50.0,32.64462809917356
2021,2,2021-09-19,HOU @ CLE,21-31,HOU,13.5,-103.0,2,50.0,win,48.54368932038835,81.18831741956191
2021,3,2021-09-26,NYJ @ DEN,0-26,NYJ,10.5,-109.0,1,100.0,loss,-100.0,-18.811682580438088
2021,4,2021-10-03,HOU @ BUF,0-40,HOU,19.0,-108.0,1,100.0,loss,-100.0,-118.81168258043809
2021,5,2021-10-10,MIA @ TB,17-45,MIA,11.0,-100.0,1,100.0,loss,-100.0,-218.8116825804381
2021,6,2021-10-17,HOU @ IND,3-31,HOU,10.5,-117.0,1,100.0,loss,-100.0,-318.81168258043806
2021,7,2021-10-24,HOU @ ARI,5-31,HOU,20.5,-111.0,1,100.0,loss,-100.0,-418.81168258043806
2021,8,2021-10-31,LA @ HOU,38-22,HOU,17.0,-118.0,1,100.0,win,84.7457627118644,-334.06591986857364
2021,9,2021-11-07,BUF @ JAX,6-9,JAX,14.5,109.0,1,100.0,win,109.0,-225.06591986857364
2021,10,2021-11-14,BUF @ NYJ,45-17,NYJ,13.0,-111.0,1,100.0,loss,-100.0,-325.06591986857364
2021,11,2021-11-21,DET @ CLE,10-13,DET,13.0,-106.0,1,100.0,win,94.33962264150944,-230.7262972270642
2021,12,2021-11-28,TEN @ NE,13-36,TEN,7.5,-118.0,1,100.0,loss,-100.0,-330.7262972270642
2021,13,2021-12-05,JAX @ LA,7-37,JAX,14.0,-103.0,1,100.0,loss,-100.0,-430.7262972270642
2021,14,2021-12-12,DET @ DEN,10-38,DET,13.0,-109.0,1,100.0,loss,-100.0,-530.7262972270642
2021,15,2021-12-19,CAR @ BUF,14-31,CAR,14.0,102.0,1,100.0,loss,-100.0,-630.7262972270642
2021,16,2021-12-26,LAC @ HOU,29-41,HOU,13.5,-114.0,1,100.0,win,87.71929824561404,-543.0069989814501
2021,17,2022-01-02,JAX @ NE,10-50,JAX,17.5,-109.0,1,100.0,loss,-100.0,-643.0069989814501
2021,18,2022-01-09,NYJ @ BUF,10-27,NYJ,16.0,-110.0,1,100.0,loss,-100.0,-743.0069989814501
2022,1,2022-09-11,PIT @ CIN,23-20,PIT,7.5,-119.0,1,100.0,win,84.03361344537815,-658.973385536072
2022,2,2022-09-18,ATL @ LA,27-31,ATL,10.5,-113.0,3,33.33333333333333,win,29.49852507374631,-629.4748604623256
2022,2,2022-09-18,CHI @ GB,10-27,CHI,10.5,-111.0,3,33.33333333333333,loss,-33.33333333333333,-662.808193795659
2022,2,2022-09-18,HOU @ DEN,9-16,HOU,10.5,-114.0,3,33.33333333333333,win,29.23976608187134,-633.5684277137876
2022,3,2022-09-25,CIN @ NYJ,27-12,NYJ,6.5,-115.0,3,33.33333333333333,loss,-33.33333333333333,-666.901761047121
2022,3,2022-09-25,DET @ MIN,24-28,DET,6.5,-101.0,3,33.33333333333333,win,33.003300330033,-633.898460717088
2022,3,2022-09-25,JAX @ LAC,38-10,JAX,6.5,-106.0,3,33.33333333333333,win,31.446540880503143,-602.4519198365849
2022,4,2022-10-02,NE @ GB,24-27,NE,10.0,-120.0,1,100.0,win,83.33333333333333,-519.1185865032515
2022,5,2022-10-09,PIT @ BUF,3-38,PIT,14.0,-108.0,1,100.0,loss,-100.0,-619.1185865032515
2022,6,2022-10-16,CAR @ LA,10-24,CAR,10.0,-112.0,2,50.0,loss,-50.0,-669.1185865032515
2022,6,2022-10-16,TB @ PIT,18-20,PIT,10.0,-113.0,2,50.0,win,44.24778761061947,-624.8707988926321
2022,7,2022-10-23,TB @ CAR,3-21,CAR,13.0,-107.0,1,100.0,win,93.45794392523365,-531.4128549673985
2022,8,2022-10-30,PIT @ PHI,13-35,PIT,11.0,102.0,1,100.0,loss,-100.0,-631.4128549673985
2022,9,2022-11-03,PHI @ HOU,29-17,HOU,14.0,-113.0,2,50.0,win,44.24778761061947,-587.165067356779
2022,9,2022-11-06,TEN @ KC,17-20,TEN,14.0,-107.0,2,50.0,win,46.728971962616825,-540.4360953941622
2022,10,2022-11-14,WAS @ PHI,32-21,WAS,11.0,-107.0,1,100.0,win,93.45794392523365,-446.97815146892856
2022,11,2022-11-20,CAR @ BAL,3-13,CAR,13.0,-117.0,1,100.0,win,85.47008547008546,-361.5080659988431
2022,12,2022-11-27,LA @ KC,10-26,LA,16.5,-115.0,1,100.0,win,86.95652173913044,-274.55154425971267
2022,13,2022-12-04,IND @ DAL,19-54,IND,11.0,-109.0,1,100.0,loss,-100.0,-374.55154425971267
2022,14,2022-12-11,HOU @ DAL,23-27,HOU,17.0,104.0,1,100.0,win,104.0,-270.55154425971267
2022,15,2022-12-18,KC @ HOU,30-24,HOU,14.5,-120.0,1,100.0,win,83.33333333333333,-187.21821092637936
2022,16,2022-12-24,SEA @ KC,10-24,SEA,10.5,-107.0,1,100.0,loss,-100.0,-287.21821092637936
2022,17,2022-12-29,DAL @ TEN,27-13,TEN,14.0,-110.0,1,100.0,push,0.0,-287.21821092637936
2022,18,2023-01-08,NYG @ PHI,16-22,NYG,16.5,-103.0,1,100.0,win,97.0873786407767,-190.13083228560265
2023,1,2023-09-10,HOU @ BAL,9-25,HOU,9.5,-110.0,1,100.0,loss,-100.0,-290.13083228560265
2023,2,2023-09-17,NYJ @ DAL,10-30,NYJ,8.5,-110.0,1,100.0,loss,-100.0,-390.13083228560265
2023,3,2023-09-24,CHI @ KC,10-41,CHI,13.0,-110.0,1,100.0,loss,-100.0,-490.13083228560265
2023,4,2023-10-01,ARI @ SF,16-35,ARI,15.0,-108.0,1,100.0,loss,-100.0,-590.1308322856027
2023,5,2023-10-08,NYG @ MIA,16-31,NYG,12.5,-110.0,1,100.0,loss,-100.0,-690.1308322856027
2023,6,2023-10-15,NYG @ BUF,9-14,NYG,15.5,-110.0,1,100.0,win,90.9090909090909,-599.2217413765118
2023,7,2023-10-22,ARI @ SEA,10-20,ARI,9.5,-112.0,1,100.0,loss,-100.0,-699.2217413765118
2023,8,2023-10-26,TB @ BUF,18-24,TB,10.0,-112.0,1,100.0,win,89.28571428571429,-609.9360270907974
2023,9,2023-11-05,ARI @ CLE,0-27,ARI,13.0,-112.0,1,100.0,loss,-100.0,-709.9360270907974
2023,10,2023-11-12,NYG @ DAL,17-49,NYG,17.5,-108.0,1,100.0,loss,-100.0,-809.9360270907974
2023,11,2023-11-19,LV @ MIA,13-20,LV,14.0,-110.0,1,100.0,win,90.9090909090909,-719.0269361817066
2023,12,2023-11-23,WAS @ DAL,10-45,WAS,13.0,-110.0,1,100.0,loss,-100.0,-819.0269361817066
2023,13,2023-12-04,CIN @ JAX,34-31,CIN,10.0,-105.0,1,100.0,win,95.23809523809524,-723.7888409436114
2023,14,2023-12-10,SEA @ SF,16-28,SEA,14.5,-110.0,1,100.0,win,90.9090909090909,-632.8797500345205
2023,15,2023-12-17,SF @ ARI,45-29,ARI,12.5,-110.0,1,100.0,loss,-100.0,-732.8797500345205
2023,16,2023-12-25,NYG @ PHI,25-33,NYG,14.0,-112.0,1,100.0,win,89.28571428571429,-643.5940357488062
2023,17,2023-12-31,NE @ BUF,21-27,NE,15.0,-110.0,1,100.0,win,90.9090909090909,-552.6849448397153
2023,18,2024-01-07,DAL @ WAS,38-10,WAS,13.0,-105.0,1,100.0,loss,-100.0,-652.6849448397153
2024,1,2024-09-08,NE @ CIN,16-10,NE,8.0,-110.0,1,100.0,win,90.9090909090909,-561.7758539306244
2024,2,2024-09-15,LV @ BAL,26-23,LV,9.0,-112.0,1,100.0,win,89.28571428571429,-472.49013964491013
2024,3,2024-09-23,WAS @ CIN,38-33,WAS,7.5,-115.0,1,100.0,win,86.95652173913044,-385.5336179057797
2024,4,2024-09-29,NE @ SF,13-30,NE,10.5,-112.0,1,100.0,loss,-100.0,-485.5336179057797
2024,5,2024-10-06,ARI @ SF,24-23,ARI,7.0,-105.0,2,50.0,win,47.61904761904762,-437.9145702867321
2024,5,2024-10-06,NYG @ SEA,29-20,NYG,7.0,-112.0,2,50.0,win,44.642857142857146,-393.27171314387493
2024,6,2024-10-13,CLE @ PHI,16-20,CLE,8.0,-108.0,1,100.0,win,92.5925925925926,-300.6791205512823
2024,7,2024-10-20,CAR @ WAS,7-40,CAR,10.0,100.0,1,100.0,loss,-100.0,-400.6791205512823
2024,8,2024-10-27,CAR @ DEN,14-28,CAR,13.0,-110.0,1,100.0,loss,-100.0,-500.6791205512823
2024,9,2024-11-03,DEN @ BAL,10-41,DEN,9.0,-115.0,2,50.0,loss,-50.0,-550.6791205512823
2024,9,2024-11-04,TB @ KC,24-30,TB,9.0,-110.0,2,50.0,win,45.45454545454545,-505.2245750967368
2024,10,2024-11-10,TEN @ LAC,17-27,TEN,8.0,-108.0,1,100.0,loss,-100.0,-605.2245750967368
2024,11,2024-11-17,JAX @ DET,6-52,JAX,14.0,-105.0,1,100.0,loss,-100.0,-705.2245750967368
2024,12,2024-11-24,KC @ CAR,30-27,CAR,11.0,-108.0,1,100.0,win,92.5925925925926,-612.6319825041442
2024,13,2024-11-29,LV @ KC,17-19,LV,13.5,-108.0,1,100.0,win,92.5925925925926,-520.0393899115516
2024,14,2024-12-08,CAR @ PHI,16-22,CAR,14.0,-112.0,1,100.0,win,89.28571428571429,-430.7536756258373
2024,15,2024-12-15,BAL @ NYG,35-14,NYG,16.5,-108.0,1,100.0,loss,-100.0,-530.7536756258373
2024,16,2024-12-22,NE @ BUF,21-24,NE,14.0,-110.0,2,50.0,win,45.45454545454545,-485.2991301712919
2024,16,2024-12-23,NO @ GB,0-34,NO,14.0,-105.0,2,50.0,loss,-50.0,-535.2991301712918
2024,17,2024-12-29,NYJ @ BUF,14-40,NYJ,10.0,-105.0,1,100.0,loss,-100.0,-635.2991301712918
2024,18,2025-01-04,CLE @ BAL,10-35,CLE,19.5,-105.0,1,100.0,loss,-100.0,-735.2991301712918
2025,1,2025-09-04,DAL @ PHI,20-24,DAL,8.5,-110.0,2,50.0,win,45.45454545454545,-689.8445847167463
2025,1,2025-09-07,TEN @ DEN,12-20,TEN,8.5,-105.0,2,50.0,win,47.61904761904762,-642.2255370976987
2025,2,2025-09-14,CLE @ BAL,17-41,CLE,12.5,-105.0,1,100.0,loss,-100.0,-742.2255370976987
2025,3,2025-09-18,MIA @ BUF,21-31,MIA,12.5,-110.0,1,100.0,win,90.9090909090909,-651.3164461886079
2025,4,2025-09-28,NO @ BUF,19-31,NO,15.5,-115.0,1,100.0,win,86.95652173913044,-564.3599244494774
2025,5,2025-10-05,DET @ CIN,37-24,CIN,10.5,-118.0,1,100.0,loss,-100.0,-664.3599244494774
2025,6,2025-10-12,CIN @ GB,18-27,CIN,14.0,-110.0,1,100.0,win,90.9090909090909,-573.4508335403865
2025,7,2025-10-19,LV @ KC,0-31,LV,13.5,-115.0,1,100.0,loss,-100.0,-673.4508335403865
2025,8,2025-10-26,TEN @ IND,14-38,TEN,15.5,-115.0,1,100.0,loss,-100.0,-773.4508335403865
2025,9,2025-11-02,NO @ LA,10-34,NO,14.0,-105.0,1,100.0,loss,-100.0,-873.4508335403865
2025,10,2025-11-06,LV @ DEN,7-10,LV,9.5,-112.0,1,100.0,win,89.28571428571429,-784.1651192546722
2025,11,2025-11-13,NYJ @ NE,14-27,NYJ,12.5,-105.0,1,100.0,loss,-100.0,-884.1651192546722
2025,12,2025-11-23,NYG @ DET,27-34,NYG,14.0,-115.0,2,50.0,win,43.47826086956522,-840.6868583851069
2025,12,2025-11-23,NYJ @ BAL,10-23,NYJ,14.0,-110.0,2,50.0,win,45.45454545454545,-795.2323129305614
2025,13,2025-11-30,MIN @ SEA,0-26,MIN,12.5,-110.0,1,100.0,loss,-100.0,-895.2323129305614
2025,14,2025-12-07,LA @ ARI,45-17,ARI,9.5,-110.0,1,100.0,loss,-100.0,-995.2323129305614
2025,15,2025-12-14,IND @ SEA,16-18,IND,13.5,-105.0,2,50.0,win,47.61904761904762,-947.6132653115138
2025,15,2025-12-14,NYJ @ JAX,20-48,NYJ,13.5,-105.0,2,50.0,loss,-50.0,-997.6132653115138
2025,16,2025-12-21,LV @ HOU,21-23,LV,14.5,-115.0,1,100.0,win,86.95652173913044,-910.6567435723834
2025,17,2025-12-25,DEN @ KC,20-13,KC,13.5,-115.0,1,100.0,win,86.95652173913044,-823.700221833253
2025,18,2026-01-04,ARI @ LA,20-37,ARI,14.5,-115.0,2,50.0,loss,-50.0,-873.700221833253
2025,18,2026-01-04,LAC @ DEN,3-19,LAC,14.5,-108.0,2,50.0,loss,-50.0,-923.700221833253
