fiscal_quarter,earnings_date_amc,next_session,close_before,close_after,move_pct,volume_vs_median,dow
Q3 (Apr qtr),1990-05-17,1990-05-18,0.0745,0.0745,0.00,4.0,Fri
Q4 (Jul qtr),1990-08-16,1990-08-17,0.0660,0.0745,12.87,2.8,Fri
Q1 (Oct qtr),1990-11-07,1990-11-08,0.0826,0.0991,19.99,10.3,Thu
Q2 (Jan qtr),1991-02-11,1991-02-12,0.1653,0.1735,4.97,4.4,Tue
Q3 (Apr qtr),1991-05-09,1991-05-10,0.1817,0.1735,-4.53,3.6,Fri
Q4 (Jul qtr),1991-08-20,1991-08-21,0.2396,0.2561,6.91,2.0,Wed
Q1 (Oct qtr),1991-11-06,1991-11-07,0.2809,0.2974,5.85,2.2,Thu
Q2 (Jan qtr),1992-02-06,1992-02-07,0.4875,0.4875,0.00,1.6,Fri
Q3 (Apr qtr),1992-05-13,1992-05-14,0.4379,0.4627,5.65,4.7,Thu
Q4 (Jul qtr),1992-08-13,1992-08-14,0.5701,0.5616,-1.49,4.4,Fri
Q1 (Oct qtr),1992-11-09,1992-11-10,0.7602,0.8014,5.42,4.6,Tue
Q2 (Jan qtr),1993-02-16,1993-02-17,0.9420,0.9420,0.00,3.7,Wed
Q3 (Apr qtr),1993-05-06,1993-05-07,1.0409,1.1156,7.18,3.7,Fri
Q4 (Jul qtr),1993-08-12,1993-08-13,1.3052,1.2228,-6.31,4.0,Fri
Q1 (Oct qtr),1993-11-04,1993-11-05,1.1401,1.2312,7.99,3.2,Fri
Q2 (Jan qtr),1994-02-22,1994-02-23,1.7019,1.6767,-1.48,2.1,Wed
Q3 (Apr qtr),1994-05-12,1994-05-13,1.3302,1.0657,-19.88,10.8,Fri
Q4 (Jul qtr),1994-08-18,1994-08-19,1.0823,1.0409,-3.83,3.4,Fri
Q1 (Oct qtr),1994-11-10,1994-11-11,1.4047,1.5121,7.65,2.9,Fri
Q2 (Jan qtr),1995-02-09,1995-02-10,1.6690,1.6111,-3.47,3.1,Fri
Q3 (Apr qtr),1995-05-02,1995-05-03,1.8836,1.9995,6.15,2.7,Wed
Q4 (Jul qtr),1995-08-17,1995-08-18,2.7926,3.0323,8.58,3.1,Fri
Q1 (Oct qtr),1995-11-09,1995-11-10,3.9741,4.0318,1.45,2.4,Fri
Q2 (Jan qtr),1996-02-08,1996-02-09,4.0815,4.1888,2.63,1.8,Fri
Q3 (Apr qtr),1996-05-09,1996-05-10,4.8417,5.0482,4.27,2.1,Fri
Q4 (Jul qtr),1996-08-15,1996-08-16,5.3042,5.1390,-3.11,1.6,Fri
Q1 (Oct qtr),1996-11-05,1996-11-06,5.6676,5.6266,-0.72,1.9,Wed
Q2 (Jan qtr),1997-02-07,1997-02-10,5.7915,5.3207,-8.13,3.9,Mon
Q3 (Apr qtr),1997-05-06,1997-05-07,5.3042,5.3954,1.72,2.3,Wed
Q4 (Jul qtr),1997-08-05,1997-08-06,7.5183,7.3778,-1.87,2.2,Wed
Q1 (Oct qtr),1997-11-03,1997-11-04,7.7832,7.6587,-1.60,1.6,Tue
Q2 (Jan qtr),1998-02-03,1998-02-04,8.6751,8.8891,2.47,2.1,Wed
Q3 (Apr qtr),1998-05-05,1998-05-06,10.1380,10.4680,3.26,2.2,Wed
Q4 (Jul qtr),1998-08-04,1998-08-05,12.8210,13.3190,3.88,2.5,Wed
Q1 (Oct qtr),1998-11-04,1998-11-05,13.5410,14.0040,3.42,1.6,Thu
Q2 (Jan qtr),1999-02-01,1999-02-02,23.7530,23.2160,-2.26,1.9,Tue
Q3 (Apr qtr),1999-05-11,1999-05-12,23.1060,24.5320,6.17,1.9,Wed
Q4 (Jul qtr),1999-08-09,1999-08-10,24.7100,24.2740,-1.76,2.3,Tue
Q1 (Oct qtr),1999-11-09,1999-11-10,30.6680,32.8420,7.09,2.0,Wed
