game_id,season,week,season_type,date,neutral_site,conference_game,home_team,away_team,home_conference,away_conference,home_division,away_division,home_points,away_points,spread_home,n_books_spread,ml_home,ml_away,n_books_ml,dog,dog_team,fav_team,dog_conference,fav_conference,dog_line,dog_line_open,dog_spread_price,fav_spread_price,dog_ml,fav_ml,dog_source,dog_margin,dog_rest,fav_rest
262780254,2006,6,regular,2006-10-06,FALSE,TRUE,Utah,TCU,Mountain West,Mountain West,fbs,fbs,20,7,-2.0,10,-135.0,115.0,5,away,TCU,Utah,Mountain West,Mountain West,2.0,,-110.0,-110.0,115.0,-135.0,spread,-13.0,8,6
262792393,2006,6,regular,2006-10-07,FALSE,FALSE,Middle Tennessee,Louisville,Sun Belt,Big East,fbs,fbs,17,44,29.5,10,3600.0,-7000.0,3,home,Middle Tennessee,Louisville,Sun Belt,Big East,29.5,,-110.0,-110.0,3600.0,-7000.0,spread,-27.0,7,14
262800002,2006,6,regular,2006-10-07,FALSE,TRUE,Auburn,Arkansas,SEC,SEC,fbs,fbs,10,27,-14.0,10,-924.3,637.5,4,away,Arkansas,Auburn,SEC,SEC,14.0,,-110.0,-110.0,637.5,-924.3,spread,17.0,14,9
262800005,2006,6,regular,2006-10-07,FALSE,TRUE,UAB,Memphis,Conference USA,Conference USA,fbs,fbs,35,29,-6.0,5,,210.0,0,away,Memphis,UAB,Conference USA,Conference USA,6.0,,-110.0,,210.0,,spread,-6.0,7,7
262800025,2006,6,regular,2006-10-08,FALSE,TRUE,California,Oregon,Pac-10,Pac-10,fbs,fbs,45,24,-5.0,10,-200.0,170.0,5,away,Oregon,California,Pac-10,Pac-10,5.0,,-110.0,-110.0,170.0,-200.0,spread,-21.0,8,8
262800026,2006,6,regular,2006-10-07,FALSE,TRUE,UCLA,Arizona,Pac-10,Pac-10,fbs,fbs,27,7,-12.0,10,-462.2,382.5,4,away,Arizona,UCLA,Pac-10,Pac-10,12.0,,-110.0,-110.0,382.5,-462.2,spread,-20.0,6,6
262800036,2006,6,regular,2006-10-07,FALSE,TRUE,Colorado State,UNLV,Mountain West,Mountain West,fbs,fbs,28,7,-17.0,10,-926.3,675.0,4,away,UNLV,Colorado State,Mountain West,Mountain West,17.0,,-110.0,-110.0,675.0,-926.3,spread,-21.0,6,6
262800038,2006,6,regular,2006-10-07,FALSE,TRUE,Colorado,Baylor,Big 12,Big 12,fbs,fbs,31,34,-6.0,10,-240.0,200.0,5,away,Baylor,Colorado,Big 12,Big 12,6.0,,-110.0,-110.0,200.0,-240.0,spread,3.0,7,7
262800057,2006,6,regular,2006-10-07,FALSE,TRUE,Florida,LSU,SEC,SEC,fbs,fbs,23,10,-0.0,10,-116.0,-104.0,4,away,LSU,Florida,SEC,SEC,0.0,,-110.0,-110.0,-104.0,-116.0,moneyline,-13.0,7,7
262800059,2006,6,regular,2006-10-07,FALSE,TRUE,Georgia Tech,Maryland,ACC,ACC,fbs,fbs,27,23,-14.0,10,-774.2,550.0,4,away,Maryland,Georgia Tech,ACC,ACC,14.0,,-110.0,-110.0,550.0,-774.2,spread,-4.0,14,7
262800061,2006,6,regular,2006-10-07,FALSE,TRUE,Georgia,Tennessee,SEC,SEC,fbs,fbs,33,51,2.5,10,107.5,-127.5,4,home,Georgia,Tennessee,SEC,SEC,2.5,,-110.0,-105.0,107.5,-127.5,spread,-18.0,6,7
262800066,2006,6,regular,2006-10-08,FALSE,TRUE,Iowa State,Nebraska,Big 12,Big 12,fbs,fbs,14,28,7.0,10,248.0,-280.0,5,home,Iowa State,Nebraska,Big 12,Big 12,7.0,,-110.0,-110.0,248.0,-280.0,spread,-14.0,8,8
262800068,2006,6,regular,2006-10-08,FALSE,TRUE,Boise State,Louisiana Tech,Western Athletic,Western Athletic,fbs,fbs,55,14,-37.0,10,-12000.0,7000.0,3,away,Louisiana Tech,Boise State,Western Athletic,Western Athletic,37.0,,-110.0,-110.0,7000.0,-12000.0,spread,-41.0,8,8
262800070,2006,6,regular,2006-10-07,FALSE,TRUE,Idaho,New Mexico State,Western Athletic,Western Athletic,fbs,fbs,28,20,-2.0,10,-133.7,117.5,4,away,New Mexico State,Idaho,Western Athletic,Western Athletic,2.0,,-105.0,-115.0,117.5,-133.7,spread,-8.0,6,7
262800096,2006,6,regular,2006-10-07,FALSE,TRUE,Kentucky,South Carolina,SEC,SEC,fbs,fbs,17,24,3.0,10,145.0,-165.0,5,home,Kentucky,South Carolina,SEC,SEC,3.0,,-110.0,-110.0,145.0,-165.0,spread,-7.0,7,9
262800130,2006,6,regular,2006-10-07,FALSE,TRUE,Michigan,Michigan State,Big Ten,Big Ten,fbs,fbs,31,13,-15.0,10,-850.0,650.0,3,away,Michigan State,Michigan,Big Ten,Big Ten,15.0,,-110.0,-110.0,650.0,-850.0,spread,-18.0,7,6
262800135,2006,6,regular,2006-10-07,FALSE,TRUE,Minnesota,Penn State,Big Ten,Big Ten,fbs,fbs,27,28,1.0,10,100.0,-120.0,5,home,Minnesota,Penn State,Big Ten,Big Ten,1.0,,-110.0,-110.0,100.0,-120.0,spread,-1.0,6,7
262800145,2006,6,regular,2006-10-07,FALSE,TRUE,Ole Miss,Vanderbilt,SEC,SEC,fbs,fbs,17,10,1.5,8,110.0,-125.0,3,home,Ole Miss,Vanderbilt,SEC,SEC,1.5,,-110.0,-110.0,110.0,-125.0,spread,7.0,6,7
262800151,2006,6,regular,2006-10-07,FALSE,FALSE,East Carolina,Virginia,Conference USA,ACC,fbs,fbs,31,21,-3.0,10,-160.0,140.0,5,away,Virginia,East Carolina,ACC,Conference USA,3.0,,-110.0,-110.0,140.0,-160.0,spread,-10.0,7,14
262800154,2006,6,regular,2006-10-07,FALSE,TRUE,Wake Forest,Clemson,ACC,ACC,fbs,fbs,17,27,14.0,10,547.5,-700.0,4,home,Wake Forest,Clemson,ACC,ACC,14.0,,-110.0,-110.0,547.5,-700.0,spread,-10.0,7,7
262800167,2006,6,regular,2006-10-08,FALSE,TRUE,New Mexico,Wyoming,Mountain West,Mountain West,fbs,fbs,10,14,1.0,10,105.0,-125.0,4,home,New Mexico,Wyoming,Mountain West,Mountain West,1.0,,-110.0,-110.0,105.0,-125.0,spread,-4.0,8,8
262800183,2006,6,regular,2006-10-07,FALSE,TRUE,Syracuse,Pittsburgh,Big East,Big East,fbs,fbs,11,21,7.0,10,240.0,-290.0,5,home,Syracuse,Pittsburgh,Big East,Big East,7.0,,-105.0,-110.0,240.0,-290.0,spread,-10.0,7,7
262800194,2006,6,regular,2006-10-07,FALSE,FALSE,Ohio State,Bowling Green,Big Ten,Mid-American,fbs,fbs,35,7,-37.5,10,-20000.0,5000.0,3,away,Bowling Green,Ohio State,Mid-American,Big Ten,37.5,,-110.0,-110.0,5000.0,-20000.0,spread,-28.0,7,6
262800195,2006,6,regular,2006-10-07,FALSE,TRUE,Ohio,Western Michigan,Mid-American,Mid-American,fbs,fbs,27,20,4.0,10,155.0,-175.0,5,home,Ohio,Western Michigan,Mid-American,Mid-American,4.0,,-110.0,-110.0,155.0,-175.0,spread,7.0,7,14
262800201,2006,6,regular,2006-10-07,FALSE,TRUE,Oklahoma,Texas,Big 12,Big 12,fbs,fbs,10,28,-3.5,10,-165.0,145.0,5,away,Texas,Oklahoma,Big 12,Big 12,3.5,,-110.0,-105.0,145.0,-165.0,spread,18.0,7,14
262800204,2006,6,regular,2006-10-07,FALSE,TRUE,Oregon State,Washington State,Pac-10,Pac-10,fbs,fbs,6,13,3.0,10,135.0,-152.5,2,home,Oregon State,Washington State,Pac-10,Pac-10,3.0,,-110.0,-110.0,135.0,-152.5,spread,-7.0,7,7
262800249,2006,6,regular,2006-10-07,FALSE,TRUE,North Texas,Florida International,Sun Belt,Sun Belt,fbs,fbs,25,22,-1.0,10,-124.8,105.0,4,away,Florida International,North Texas,Sun Belt,Sun Belt,1.0,,-110.0,-110.0,105.0,-124.8,spread,-3.0,7,7
262800275,2006,6,regular,2006-10-07,FALSE,TRUE,Wisconsin,Northwestern,Big Ten,Big Ten,fbs,fbs,41,9,-19.5,10,-2200.0,1315.0,3,away,Northwestern,Wisconsin,Big Ten,Big Ten,19.5,,-110.0,-110.0,1315.0,-2200.0,spread,-32.0,7,7
262800328,2006,6,regular,2006-10-08,FALSE,TRUE,Utah State,Fresno State,Western Athletic,Western Athletic,fbs,fbs,13,12,25.0,10,1900.0,-3500.0,3,home,Utah State,Fresno State,Western Athletic,Western Athletic,25.0,,-110.0,-110.0,1900.0,-3500.0,spread,1.0,8,7
262800333,2006,6,regular,2006-10-07,FALSE,FALSE,Alabama,Duke,SEC,ACC,fbs,fbs,30,14,-28.0,10,-4444.4,2550.0,2,away,Duke,Alabama,ACC,SEC,28.0,,-110.0,-110.0,2550.0,-4444.4,spread,-16.0,7,7
262800344,2006,6,regular,2006-10-07,FALSE,FALSE,Mississippi State,West Virginia,SEC,Big East,fbs,fbs,14,42,20.5,10,1250.0,-2000.0,3,home,Mississippi State,West Virginia,SEC,Big East,20.5,,-110.0,-110.0,1250.0,-2000.0,spread,-28.0,7,14
