market,cut,segment,bets,wins,losses,pushes,win_pct,pnl,roi,t_stat
MONEYLINE,every underdog,all underdogs,11775,3030,8745,0,0.2573,-113773.59,-0.0966,-4.45
MONEYLINE,by season,2006,343,84,259,0,0.2449,-3329.34,-0.0971,-0.88
MONEYLINE,by season,2007,544,153,391,0,0.2812,10522.99,0.1934,1.06
MONEYLINE,by season,2008,286,71,215,0,0.2483,-5046.75,-0.1765,-1.67
MONEYLINE,by season,2009,554,134,420,0,0.2419,-11527.07,-0.2081,-3.01
MONEYLINE,by season,2010,552,127,425,0,0.2301,-11325.09,-0.2052,-2.88
MONEYLINE,by season,2011,593,148,445,0,0.2496,-3855.68,-0.065,-0.67
MONEYLINE,by season,2012,621,145,476,0,0.2335,-4750.25,-0.0765,-0.39
MONEYLINE,by season,2013,625,138,487,0,0.2208,-17863.31,-0.2858,-4.61
MONEYLINE,by season,2014,653,168,485,0,0.2573,-9359.9,-0.1433,-2.15
MONEYLINE,by season,2015,661,146,515,0,0.2209,-14024.53,-0.2122,-2.53
MONEYLINE,by season,2016,655,172,483,0,0.2626,3511.91,0.0536,0.58
MONEYLINE,by season,2017,656,158,498,0,0.2409,-7583.93,-0.1156,-1.21
MONEYLINE,by season,2018,672,167,505,0,0.2485,-9248.39,-0.1376,-1.73
MONEYLINE,by season,2019,665,171,494,0,0.2571,-3314.82,-0.0498,-0.56
MONEYLINE,by season,2021,683,195,488,0,0.2855,-5256.33,-0.077,-1.18
MONEYLINE,by season,2022,670,194,476,0,0.2896,4618.83,0.0689,0.87
MONEYLINE,by season,2023,772,213,559,0,0.2759,-10333.71,-0.1339,-2.19
MONEYLINE,by season,2024,787,233,554,0,0.2961,-4396.86,-0.0559,-0.87
MONEYLINE,by season,2025,783,213,570,0,0.272,-11211.37,-0.1432,-2.47
MONEYLINE,by size of the underdog line,a. +0.5 to +3,2204,1049,1155,0,0.476,6306.45,0.0286,1.24
MONEYLINE,by size of the underdog line,b. +3.5 to +7,2969,1039,1930,0,0.3499,-2427.76,-0.0082,-0.33
MONEYLINE,by size of the underdog line,c. +7.5 to +10,1461,365,1096,0,0.2498,-9588.0,-0.0656,-1.54
MONEYLINE,by size of the underdog line,d. +10.5 to +14,1645,320,1325,0,0.1945,-12814.78,-0.0779,-1.67
MONEYLINE,by size of the underdog line,e. +14.5 to +21,1905,195,1710,0,0.1024,-50442.5,-0.2648,-5.19
MONEYLINE,by size of the underdog line,f. +21.5 to +28,1009,52,957,0,0.0515,-32156.0,-0.3187,-3.33
MONEYLINE,by size of the underdog line,g. +28.5 to +35,403,9,394,0,0.0223,-2851.0,-0.0707,-0.19
MONEYLINE,by size of the underdog line,h. +35 or more,179,1,178,0,0.0056,-9800.0,-0.5475,-1.21
MONEYLINE,home / road / neutral,road dog,7094,1700,5394,0,0.2396,-74498.27,-0.105,-3.34
MONEYLINE,home / road / neutral,home dog,4244,1191,3053,0,0.2806,-39195.32,-0.0924,-3.34
MONEYLINE,home / road / neutral,neutral site,437,139,298,0,0.3181,-79.99,-0.0018,-0.02
