market,cut,segment,bets,wins,losses,pushes,win_pct,pnl,roi,t_stat
MONEYLINE,every underdog,all underdogs,12771,3111,9660,0,0.2436,-86722.35,-0.0679,-1.39
MONEYLINE,by season,2006,343,84,259,0,0.2449,-3329.34,-0.0971,-0.88
MONEYLINE,by season,2007,544,153,391,0,0.2812,10522.99,0.1934,1.06
MONEYLINE,by season,2008,286,71,215,0,0.2483,-5046.75,-0.1765,-1.67
MONEYLINE,by season,2009,580,135,445,0,0.2328,-13801.57,-0.238,-3.58
MONEYLINE,by season,2010,559,127,432,0,0.2272,-12025.09,-0.2151,-3.05
MONEYLINE,by season,2011,670,153,517,0,0.2284,-8039.18,-0.12,-1.31
MONEYLINE,by season,2012,699,154,545,0,0.2203,-8634.34,-0.1235,-0.71
MONEYLINE,by season,2013,718,148,570,0,0.2061,-10975.81,-0.1529,-1.33
MONEYLINE,by season,2014,747,176,571,0,0.2356,-14192.9,-0.19,-2.97
MONEYLINE,by season,2015,751,151,600,0,0.2011,-14434.53,-0.1922,-1.83
MONEYLINE,by season,2016,742,180,562,0,0.2426,1661.91,0.0224,0.24
MONEYLINE,by season,2017,737,165,572,0,0.2239,56301.07,0.7639,1.0
MONEYLINE,by season,2018,764,172,592,0,0.2251,-16465.39,-0.2155,-3.02
MONEYLINE,by season,2019,762,173,589,0,0.227,-12304.82,-0.1615,-2.06
MONEYLINE,by season,2021,700,201,499,0,0.2871,-5416.33,-0.0774,-1.21
MONEYLINE,by season,2022,679,195,484,0,0.2872,3978.83,0.0586,0.75
MONEYLINE,by season,2023,792,217,575,0,0.274,-11138.71,-0.1406,-2.34
MONEYLINE,by season,2024,831,238,593,0,0.2864,-6646.86,-0.08,-1.28
MONEYLINE,by season,2025,867,218,649,0,0.2514,-16735.53,-0.193,-3.51
MONEYLINE,by size of the underdog line,a. +0.5 to +3,2233,1058,1175,0,0.4738,5467.35,0.0245,1.07
MONEYLINE,by size of the underdog line,b. +3.5 to +7,3011,1056,1955,0,0.3507,-1564.26,-0.0052,-0.21
MONEYLINE,by size of the underdog line,c. +7.5 to +10,1508,376,1132,0,0.2493,-10119.5,-0.0671,-1.6
MONEYLINE,by size of the underdog line,d. +10.5 to +14,1720,334,1386,0,0.1942,-14136.44,-0.0822,-1.81
MONEYLINE,by size of the underdog line,e. +14.5 to +21,2043,212,1831,0,0.1038,-52225.0,-0.2556,-5.16
MONEYLINE,by size of the underdog line,f. +21.5 to +28,1200,59,1141,0,0.0492,-38788.5,-0.3232,-3.58
MONEYLINE,by size of the underdog line,g. +28.5 to +35,594,14,580,0,0.0236,7644.0,0.1287,0.38
MONEYLINE,by size of the underdog line,h. +35 or more,461,2,459,0,0.0043,17100.0,0.3709,0.31
MONEYLINE,home / road / neutral,road dog,8016,1766,6250,0,0.2203,-44850.77,-0.056,-0.73
MONEYLINE,home / road / neutral,home dog,4269,1200,3069,0,0.2811,-39154.08,-0.0917,-3.33
MONEYLINE,home / road / neutral,neutral site,486,145,341,0,0.2984,-2717.49,-0.0559,-0.62
